text,domain,intent,split
what date should i next change my oil,5,62,train
i need reviews for places serving tacos in chicago,3,41,test
how do you jump start a subaru forester,5,75,train
"yes, that's what i want",10,139,train
tell me the title of the song playing,4,46,val
i'd like to augment my workout playlist with this tune,4,53,val
what's the amount due on my latest sprint bill,1,9,train
look up qat please,7,99,train
can you tell me what my interest rate from first federal is,1,7,train
i would like to request that more checkbooks be mailed to me,1,11,train
what are your favorite hobbies to take part in,9,125,train
will you tell me my routing number,1,2,train
does mexico travel require a visa,6,80,train
is my order already here,4,52,train
what's the credit limit on my account,2,25,train
do you know what calumny means  please look it up for me,7,99,train
how healthy is tacos,3,36,test
i need you to order a new pair of eyeglasses for me,0,0,oos_test
how can i find out what my tire pressure is,5,66,test
i would like to try and confirm that i have a reservation at carrabbas for heather,3,32,val
tell me my designation,10,137,train
can you please turn on my furnace,4,60,train
i need an alarm set for 6 in the morning,7,92,train
will i get sick if i eat the tuna salad from friday,3,31,train
roll the die!,7,104,train
please connect to my phone,10,146,train
can you order some more eggs for me since i just ran out,4,57,test
what is your origin,9,128,test
how many dollars can i exchange for 200 yen,6,82,train
can you find me a recipe for cheese cake,3,37,train
"what you are doing is not actually helpful, please cancel the action",10,145,train
onpay gives you two convenient ways to pay your employees,8,119,train
what does life mean to you,9,122,train
has my maternity leave been approved,8,106,val
what did i ask to be reminded about,4,49,train
what is the equal number of dollars i can exchange for 50 pesos,6,82,train
text bill and tell him i'll be 30 minutes late,7,105,train
what ingredients do i need to make potato skins,3,34,train
can you describe your hobbies to me,9,125,train
i would like to put carrots on my list for shopping,4,59,train
please order me a 7lb bag of world's best cat litter from targetcom,4,57,train
i want you to quit the action,10,145,train
speak in german,10,142,test
i would like you to revert to your factory settings,10,149,train
can i raise the credit limit for my discover card,2,22,train
the song on speaker is what,4,46,train
is my delta flight on time,6,79,train
which purchases are on my shopping list,4,54,train
move 100 dollars from checking to savings,1,10,train
i would like to put 100 dollars from the checking into the savings account now,1,10,test
please suggest meals from italy to me,3,40,train
what's my vacation status,8,106,train
when were you made,9,134,test
what time is it in dallas,7,103,test
"um, i'm not quite sure",10,150,test
what locations of applebee's take reservations,3,45,train
how much money would my house sell for,0,0,oos_test
say it one more time please,10,143,train
what would your age be,9,134,train
i want you to add milk on my shopping list unless it is already on it,4,59,train
what's the routing number for my current checking,1,2,train
i must schedule somewhere get my tires checked out,5,67,train
i need to know how to jump start my car,5,75,train
can you tell me where to get a w2,8,117,train
how do i get rewards from my visa card,2,24,val
what have i spent over the last few days,1,13,train
pair yourself to my phone if you can,10,146,test
clear my calendar on feb 28,4,51,test
scrap reservation at 4 for red robin,3,42,val
i would like to have march 5th's 5k added to my calendar,4,51,train
"my credit card has been stolen, please report it",2,20,train
i need to know more about my health plan,8,109,train
i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,1,12,val
malignant is spelled how exactly,7,102,val
"good answer, thanks for providing it",9,130,train
call an uber to mcdonalds,5,64,train
please tell me the last time i took my car to the shop,5,72,train
where do i get the form i need for taxes,8,117,train
you got it,10,139,train
i need a time update on the applebees trip,5,70,train
i'm traveling tony soon and want to inform my bank,6,77,train
where did mandarin originate from,0,0,oos_test
i am needing you to buy me some shoes,4,57,train
i need to know if i have meetings from 3 to 6 pm,8,110,test
what are you,9,133,train
set up a meeting with frank at 2pm,8,118,train
can you give me a thai meal suggestion,3,40,train
did madison really bathe in the potomac naked,0,0,oos_test
check current prime mortgage rate,0,0,oos_test
what are the best jeans in my size,0,0,oos_test
the milk will expire when,3,31,train
that i don't know,10,150,train
"if i lose my credit card, will i get a replacement immediately",2,16,val
that is true,10,139,train
can my grace period be extended any possible way,0,0,oos_test
where would the routing number for first utah be located,1,2,test
pause,10,145,train
set alarm for 5 am,7,92,train
call aj,7,97,val
jump to the next song on this playlist,4,56,train
how much should i tip on this bill,0,0,oos_test
what are the items on my reminder list,4,49,train
is an international visa needed for canada,6,80,val
does your family have any pets,9,124,val
what sort of plug is used in the caribbean,6,76,test
you saved my name how,10,137,train
would you tell me who made the ai,9,121,train
how can i redeem my credit card points,2,24,train
at this location what are my gps coordinates,5,61,train
what are the ai's hobbies,9,125,test
i'm curious what health plan i'm on,8,109,train
appreciate it,9,130,train
don't make too much noise,10,138,train
will you schedule a conference room for thursday at 4:00,8,118,test
what are the required shots in mozambique,6,85,test
i need my savings account placed under a block as soon as possible,1,1,val
what's my bank of america account getting in interest,1,7,test
i need to know the conversion for dollars to pesos,6,82,train
will getting a credit card help my credit score,2,19,val
i wanted to remember what again,4,49,train
can you change to the male voice,10,144,test
whats the max i can spend on my visa,2,25,train
i would like to take a paid time off for february 7 and 8,8,116,train
what is the reason for frozen status on my bank account,1,6,train
i want to know how old you are,9,134,train
i need to rent an suv in charlestown for the first week in june who do you suggest,6,90,test
i need you to your volume,10,140,train
whats dollars won in 15,6,82,train
show me the transaction on burger king,1,14,train
contact uber and have them pick me up,5,64,test
find out why my card declined yesterday,2,21,train
what's my eta on the bus ride to church,5,70,train
report the card has been damaged,2,18,train
did i put vacuuming on my todo's,4,58,val
what is the name you have for me,10,137,test
what do i need to buy to make pierogi,3,34,train
is it time for new tires,5,74,train
do they use weird plugs in australia where i'd need some kind of socket converter,6,76,train
